stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words,classification,confidence,method
decoi,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,"decoy, decoying, decoys",environmental,0.659,model
toegang,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,toegang,environmental,0.551,model
water-pip,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,water-pipe,environmental,0.844,model
fossil-fre,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,fossil-free,environmental,0.841,model
transpor,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,transpor,environmental,0.554,model
harvester-thresh,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,harvester-threshers,environmental,0.885,model
dichlorofluoroethan,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,"dichlorofluoroethane, dichlorofluoroethanes",environmental,0.641,model
turto,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,turto,environmental,0.531,model
octa,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,octa,environmental,0.539,model
waste-manag,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,waste-management,environmental,0.755,model
dichlorotrifluoroethan,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,"dichlorotrifluoroethane, dichlorotrifluoroethanes",environmental,0.625,model
energijo,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,"energijo, energijos",environmental,0.737,model
inositol,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,"inositol, inositols",environmental,0.561,model
dihydrogenorthophosph,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,dihydrogenorthophosphate,environmental,0.647,model
hotspot,90.71446391627116,179,9,0.0490142387732749,0.0005403133817614,"hotspot, hotspots",environmental,0.809,model
rare-earth,88.940717415115,156,8,0.0427163198247535,0.0004802785615657,"rare-earth, rare-earths",environmental,0.843,model
re-tann,88.940717415115,39,2,0.0106790799561883,0.0001200696403914,re-tanning,environmental,0.535,model
brownfield,88.940717415115,39,2,0.0106790799561883,0.0001200696403914,"brownfield, brownfields",environmental,0.9,model
flood-pron,88.940717415115,39,2,0.0106790799561883,0.0001200696403914,flood-prone,environmental,0.779,model
pulveris,88.940717415115,39,2,0.0106790799561883,0.0001200696403914,"pulverisation, pulverise, pulverised, pulverising",environmental,0.529,model
ndc,88.94071741511499,117,6,0.0320372398685651,0.0003602089211742,"ndc, ndcs",environmental,1.0,known_acronym
multi-st,88.18054034319094,58,3,0.0158817086527929,0.0001801044605871,"multi-st, multi-state, multi-station",environmental,0.637,model
mastic,87.23031900328587,153,8,0.0418948521358159,0.0004802785615657,"mastic, masticables, mastics",environmental,0.57,model
geospati,86.66018619934283,95,5,0.026013143483023,0.0003001741009785,geospatial,environmental,0.678,model
incinerat,86.66018619934283,95,5,0.026013143483023,0.0003001741009785,"incinerat, incinerated, incinerating",environmental,0.611,model
demist,86.66018619934283,38,2,0.0104052573932092,0.0001200696403914,"demist, demisters, demisting",environmental,0.526,model
agronomist,86.66018619934283,38,2,0.0104052573932092,0.0001200696403914,"agronomist, agronomists",environmental,0.867,model
bedroom,86.66018619934283,38,2,0.0104052573932092,0.0001200696403914,"bedroom, bedrooms",environmental,0.594,model
hoop,86.66018619934283,38,2,0.0104052573932092,0.0001200696403914,"hoop, hooping, hoops",environmental,0.506,model
vulcanis,86.66018619934282,57,3,0.0156078860898138,0.0001801044605871,"vulcanisation, vulcanised, vulcanising",environmental,0.753,model
biomass,85.87828978250666,659,35,0.1804490690032858,0.0021012187068499,"biomass, biomasse, biomasses",environmental,0.939,model
cermet,85.51992059145674,150,8,0.0410733844468784,0.0004802785615657,"cermet, cermets",environmental,0.627,model
squeege,85.51992059145674,75,4,0.0205366922234392,0.0002401392807828,squeegees,environmental,0.576,model
demolit,85.41626008164891,206,11,0.056407447973713,0.0006603830221528,"demolition, demolitions",environmental,0.584,model
land-us,84.9497877875137,298,16,0.0815991237677984,0.0009605571231314,"land-use, land-used",environmental,0.799,model
psychologist,84.37965498357065,74,4,0.02026286966046,0.0002401392807828,"psychologist, psychologists",environmental,0.59,model
change-relat,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,change-related,environmental,0.643,model
biodegradability,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,biodegradability,environmental,0.926,model
faeroes,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,faeroese,environmental,0.506,model
methionin,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,methionine,environmental,0.513,model
turbot,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,"turbot, turbots",environmental,0.759,model
polyester-foil,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,polyester-foils,environmental,0.555,model
eu-nato,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,eu-nato,environmental,0.514,model
indurata,83.61947791164658,55,3,0.0150602409638554,0.0001801044605871,indurata,environmental,0.515,model
energy-us,83.23938937568455,73,4,0.0199890470974808,0.0002401392807828,"energy-use, energy-using",environmental,0.557,model
ospar,82.85930083972252,109,6,0.0298466593647316,0.0003602089211742,ospar,environmental,0.631,model
garbag,82.09912376779847,72,4,0.0197152245345016,0.0002401392807828,garbage,environmental,0.521,model
lecithin,82.09912376779847,36,2,0.0098576122672508,0.0001200696403914,"lecithin, lecithins",environmental,0.723,model
dioscorea,82.09912376779847,36,2,0.0098576122672508,0.0001200696403914,dioscorea,environmental,0.725,model
painter,82.09912376779847,36,2,0.0098576122672508,0.0001200696403914,"painter, painters",environmental,0.56,model
community-l,82.09912376779847,36,2,0.0098576122672508,0.0001200696403914,community-led,environmental,0.605,model
sea-basin,82.09912376779847,36,2,0.0098576122672508,0.0001200696403914,"sea-basin, sea-basins",environmental,0.912,model
unguiculata,82.09912376779847,36,2,0.0098576122672508,0.0001200696403914,unguiculata,environmental,0.697,model
turntabl,82.09912376779846,54,3,0.0147864184008762,0.0001801044605871,"turntable, turntables",environmental,0.556,model
ischaem,82.09912376779846,54,3,0.0147864184008762,0.0001801044605871,ischaemic,environmental,0.603,model
baromet,81.26983968933585,196,11,0.0536692223439211,0.0006603830221528,"baromete, barometer, barometers",environmental,0.6,model
overfish,81.18691128148959,89,5,0.0243702081051478,0.0003001741009785,"overfished, overfishing",environmental,0.907,model
hypochlorit,80.57876962395035,53,3,0.014512595837897,0.0001801044605871,"hypochlorite, hypochlorites",environmental,0.709,model
creosot,80.57876962395035,53,3,0.014512595837897,0.0001801044605871,"creosote, creosotes",environmental,0.867,model
calcin,80.14438272570803,123,7,0.0336801752464403,0.0004202437413699,"calcination, calcinations, calcine, calcined, calciners, calcining",environmental,0.636,model
alkali,79.81859255202627,105,6,0.0287513691128148,0.0003602089211742,"alkali, alkalis",environmental,0.746,model
power-operat,79.81859255202627,70,4,0.0191675794085432,0.0002401392807828,"power-operated, power-operating",environmental,0.519,model
anti-foul,79.81859255202627,35,2,0.0095837897042716,0.0001200696403914,anti-fouling,environmental,0.533,model
agro-ecolog,79.81859255202627,35,2,0.0095837897042716,0.0001200696403914,agro-ecological,environmental,0.997,model
whale,79.49280237834455,122,7,0.0334063526834611,0.0004202437413699,"whale, whales",environmental,0.777,model
shale,79.36248630887185,174,10,0.0476451259583789,0.0006003482019571,"shale, shales",environmental,0.827,model
bioaccumul,79.24845974808325,139,8,0.0380613362541073,0.0004802785615657,"bioaccumulable, bioaccumulate, bioaccumulates, bioaccumulation, bioaccumulative, bioaccumulive",environmental,0.664,model
pollin,79.05841548010224,156,9,0.0427163198247535,0.0005403133817614,"pollin, pollinate, pollination, pollinator, pollinators, pollinizers",environmental,0.955,model
illiteracy,79.05841548010223,52,3,0.0142387732749178,0.0001801044605871,illiteracy,environmental,0.594,model
seabird,79.05841548010223,52,3,0.0142387732749178,0.0001801044605871,"seabird, seabirds",environmental,0.864,model
spool,78.45027382256298,86,5,0.0235487404162102,0.0003001741009785,"spool, spools",environmental,0.545,model
lignit,77.74538235586976,375,22,0.102683461117196,0.0013207660443056,"lignit, lignite, lignites",environmental,0.831,model
cartography,77.5380613362541,68,4,0.0186199342825848,0.0002401392807828,cartography,environmental,0.575,model
kelvin,77.5380613362541,34,2,0.0093099671412924,0.0001200696403914,"kelvin, kelvins",environmental,0.515,model
trifluorid,77.5380613362541,34,2,0.0093099671412924,0.0001200696403914,trifluoride,environmental,0.649,model
ejustic,77.5380613362541,34,2,0.0093099671412924,0.0001200696403914,ejustice,environmental,0.506,model
biscai,77.5380613362541,34,2,0.0093099671412924,0.0001200696403914,biscay,environmental,0.562,model
sustainably,76.58783999634903,403,24,0.1103504928806133,0.0014408356846971,sustainably,environmental,0.669,model
photon,76.52449190702204,151,9,0.0413472070098576,0.0005403133817614,"photon, photonic, photonics, photons",environmental,0.566,model
pentahydr,76.39779572836802,67,4,0.0183461117196056,0.0002401392807828,pentahydrate,environmental,0.536,model
tetrabromo,76.39779572836802,67,4,0.0183461117196056,0.0002401392807828,tetrabromo,environmental,0.564,model
bioenergy,76.017707192406,150,9,0.0410733844468784,0.0005403133817614,bioenergy,environmental,0.725,model
poach,76.01770719240598,50,3,0.0136911281489594,0.0001801044605871,"poach, poached, poaching",environmental,0.704,model
clp,75.87949317932889,183,11,0.0501095290251916,0.0006603830221528,clp,environmental,1.0,known_acronym
energy-relat,75.25753012048193,297,18,0.0813253012048192,0.0010806267635228,energy-related,environmental,0.651,model
side-car,75.25753012048193,99,6,0.0271084337349397,0.0003602089211742,"side-car, side-cars",environmental,0.526,model
eksportuesi,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,eksportuesi,environmental,0.612,model
rastev,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,rasteve,environmental,0.541,model
dumper,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,"dumper, dumpers",environmental,0.605,model
oil-cak,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,"oil-cake, oil-cakes",environmental,0.531,model
chlorit,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,"chlorite, chlorites",environmental,0.707,model
colocasia,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,colocasia,environmental,0.943,model
abalon,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,"abalon, abalone, abalones",environmental,0.807,model
colloid,74.49735304855786,98,6,0.0268346111719605,0.0003602089211742,"colloid, colloidal, colloids",environmental,0.792,model
micrometr,74.49735304855786,98,6,0.0268346111719605,0.0003602089211742,"micrometre, micrometres, micrometric",environmental,0.576,model
naphthalen,74.49735304855786,98,6,0.0268346111719605,0.0003602089211742,"naphthalene, naphthalenes",environmental,0.612,model
undersea,74.49735304855786,49,3,0.0134173055859802,0.0001801044605871,undersea,environmental,0.692,model
onshor,74.34531763417304,163,10,0.0446330777656078,0.0006003482019571,"onshore, onshoring",environmental,0.581,model
agroforestry,74.11726451259584,65,4,0.0177984665936473,0.0002401392807828,agroforestry,environmental,0.978,model
hydrofinish,73.73717597663381,97,6,0.0265607886089813,0.0003602089211742,hydrofinishing,environmental,0.679,model
bisphenol,72.97699890470975,112,7,0.0306681270536692,0.0004202437413699,"bisphenol, bisphenols",environmental,0.567,model
biophys,72.97699890470975,48,3,0.013143483023001,0.0001801044605871,"biophysical, biophysics",environmental,0.965,model
sprattu,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,sprattus,environmental,0.666,model
greinilega,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,greinilega,environmental,0.787,model
sauna,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,"sauna, saunas",environmental,0.545,model
sesamum,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,sesamum,environmental,0.707,model
sub-object,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,"sub-objective, sub-objectives",environmental,0.508,model
cbam,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,cbam,environmental,1.0,known_acronym
opcat,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,opcat,environmental,0.524,model
wmd-relat,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,wmd-related,environmental,0.623,model
tekur,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,tekur,environmental,0.546,model
topsoil,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,"topsoil, topsoils",environmental,0.718,model
bio-accumul,71.83673329682367,63,4,0.0172508214676889,0.0002401392807828,"bio-accumulate, bio-accumulation, bio-accumulative, bio-accumulators",environmental,0.764,model
cetacean,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,"cetacean, cetaceans",environmental,0.788,model
rogress,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,rogress,environmental,0.516,model
hazefactor,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,hazefactor,environmental,0.676,model
chromat,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,"chromate, chromated, chromates, chromatic",environmental,0.58,model
trichloro,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,trichloro,environmental,0.621,model
desert,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,"desert, deserted, deserting, desertion, deserts",environmental,0.776,model
eco-manag,71.07655622489959,187,12,0.0512048192771084,0.0007204178423485,"eco-management, eco-managers",environmental,0.994,model
scenery,71.02225786261931,109,7,0.0298466593647316,0.0004202437413699,scenery,environmental,0.874,model
binocular,71.02225786261931,109,7,0.0298466593647316,0.0004202437413699,"binocular, binoculares, binoculars",environmental,0.705,model
methoxychlor,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,methoxychlor,environmental,0.577,model
esri,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,esri,environmental,0.669,model
dibromotetrafluoroethan,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,"dibromotetrafluoroethane, dibromotetrafluoroethanes",environmental,0.61,model
re-gasif,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,re-gasification,environmental,0.752,model
crocidolit,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,crocidolite,environmental,0.717,model
soleida,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,soleidae,environmental,0.698,model
state-fund,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,"state-funded, state-funding",environmental,0.529,model
hesar,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,hesar,environmental,0.715,model
allei,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,"alley, alleys",environmental,0.671,model
fevnir,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,fevnir,environmental,0.613,model
first-ev,70.69646768893756,93,6,0.0254654983570646,0.0003602089211742,first-ever,environmental,0.518,model
agri-environment,70.48914666932193,170,11,0.0465498357064622,0.0006603830221528,agri-environmental,environmental,0.992,model
atalanta,69.93629061701351,46,3,0.0125958378970427,0.0001801044605871,atalanta,environmental,0.552,model
hydrogeolog,69.93629061701351,46,3,0.0125958378970427,0.0001801044605871,hydrogeological,environmental,0.978,model
forest-bas,69.55620208105147,61,4,0.0167031763417305,0.0002401392807828,forest-based,environmental,0.948,model
vacuum-distil,69.32814895947426,76,5,0.0208105147864184,0.0003001741009785,vacuum-distillation,environmental,0.677,model
mussel,69.32814895947426,76,5,0.0208105147864184,0.0003001741009785,"mussel, mussels",environmental,0.904,model
overflow,69.32814895947426,76,5,0.0208105147864184,0.0003001741009785,"overflow, overflowed, overflowing, overflows",environmental,0.542,model
orthopaed,69.32814895947426,76,5,0.0208105147864184,0.0003001741009785,"orthopaedic, orthopaedical, orthopaedics",environmental,0.558,model
eionet,69.1361042255145,288,19,0.0788608981380065,0.0011406615837185,eionet,environmental,1.0,known_acronym
spatial,68.84622538180164,800,53,0.2190580503833515,0.0031818454703728,"spatial, spatiale, spatiales",environmental,0.665,model
eel,68.41593647316539,90,6,0.024644030668127,0.0003602089211742,"eel, eels",environmental,0.885,model
geodesy,68.41593647316539,45,3,0.0123220153340635,0.0001801044605871,geodesy,environmental,0.954,model
air-quality,68.41593647316539,45,3,0.0123220153340635,0.0001801044605871,air-quality,environmental,0.937,model
sardina,68.41593647316539,45,3,0.0123220153340635,0.0001801044605871,sardina,environmental,0.59,model
geodet,68.41593647316539,45,3,0.0123220153340635,0.0001801044605871,geodetic,environmental,0.981,model
hot-spot,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,"hot-spot, hot-spots",environmental,0.563,model
amino-compound,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,amino-compounds,environmental,0.55,model
sardinop,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,sardinops,environmental,0.75,model
on-road,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,on-road,environmental,0.53,model
environmen,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,environmen,environmental,0.954,model
gutter,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,"gutter, guttering, gutters",environmental,0.794,model
chlorodifluoromethan,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,chlorodifluoromethane,environmental,0.676,model
scophthalmida,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,scophthalmidae,environmental,0.72,model
undevelop,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,undeveloped,environmental,0.512,model
cypermethrin,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,"cypermethrin, cypermethrine",environmental,0.859,model
gadida,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,gadidae,environmental,0.771,model
citharida,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,citharidae,environmental,0.737,model
excav,68.03584793720336,179,12,0.0490142387732749,0.0007204178423485,"excavates, excavation, excavations, excavator, excavators",environmental,0.749,model
caspian,67.76435612580191,104,7,0.0284775465498357,0.0004202437413699,caspian,environmental,0.622,model
farmyard,67.50372398685651,74,5,0.02026286966046,0.0003001741009785,"farmyard, farmyards",environmental,0.752,model
urbanis,67.07444752271117,250,17,0.0684556407447973,0.0010205919433271,"urbanisation, urbanised, urbanising",environmental,0.681,model
manur,66.89558232931728,264,18,0.072289156626506,0.0010806267635228,"manure, manured, manures, manuring",environmental,0.889,model
ethan,66.89558232931726,88,6,0.0240963855421686,0.0003602089211742,"ethanal, ethane",environmental,0.776,model
alkylbenzen,66.89558232931726,44,3,0.0120481927710843,0.0001801044605871,"alkylbenzene, alkylbenzenes",environmental,0.606,model
garnet,66.89558232931726,44,3,0.0120481927710843,0.0001801044605871,"garnet, garneted",environmental,0.54,model
sediment,66.64218997200926,263,18,0.0720153340635268,0.0010806267635228,"sediment, sedimentation, sediments",environmental,0.947,model
psychiatr,66.46119543107496,102,7,0.0279299014238773,0.0004202437413699,"psychiatric, psychiatrics",environmental,0.555,model
catid,66.13540525739322,58,4,0.0158817086527929,0.0002401392807828,catid,environmental,0.503,model
diatomit,66.13540525739322,29,2,0.0079408543263964,0.0001200696403914,diatomite,environmental,0.676,model
peppermint,66.13540525739322,29,2,0.0079408543263964,0.0001200696403914,peppermint,environmental,0.547,model
urchin,66.13540525739322,29,2,0.0079408543263964,0.0001200696403914,"urchin, urchins",environmental,0.636,model
seap,66.13540525739322,29,2,0.0079408543263964,0.0001200696403914,"seap, seaps",environmental,0.735,model
protecti,66.13540525739322,29,2,0.0079408543263964,0.0001200696403914,"protecti, protectie",environmental,0.543,model
resource-bas,66.13540525739322,29,2,0.0079408543263964,0.0001200696403914,"resource-base, resource-based, resource-bases",environmental,0.517,model
extractor,66.1354052573932,87,6,0.0238225629791894,0.0003602089211742,"extractor, extractors",environmental,0.837,model
oscilloscop,65.67929901423878,72,5,0.0197152245345016,0.0003001741009785,"oscilloscope, oscilloscopes",environmental,0.655,model
satchel,65.37522818546915,43,3,0.0117743702081051,0.0001801044605871,satchels,environmental,0.809,model
eubam,65.37522818546915,43,3,0.0117743702081051,0.0001801044605871,eubam,environmental,0.638,model
mitrovica,65.37522818546915,43,3,0.0117743702081051,0.0001801044605871,mitrovica,environmental,0.542,model
emerald,64.99513964950712,57,4,0.0156078860898138,0.0002401392807828,"emerald, emeralds",environmental,0.544,model
sewer,64.61505111354509,85,6,0.0232749178532311,0.0003602089211742,"sewer, sewers",environmental,0.549,model
alkaloid,64.61505111354509,85,6,0.0232749178532311,0.0003602089211742,"alkaloid, alkaloids",environmental,0.664,model
anod,64.42500684556408,113,8,0.0309419496166484,0.0004802785615657,"anod, anode, anodes, anodic",environmental,0.556,model
trengthen,63.85487404162103,56,4,0.0153340635268346,0.0002401392807828,"trengthen, trengthened, trengthening",environmental,0.611,model
phosphon,63.85487404162103,56,4,0.0153340635268346,0.0002401392807828,"phosphonate, phosphonates, phosphonic",environmental,0.694,model
lagoon,63.85487404162103,56,4,0.0153340635268346,0.0002401392807828,"lagoon, lagoonal, lagooning, lagoons",environmental,0.917,model
xanthosoma,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,xanthosoma,environmental,0.605,model
nasu,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,"nasu, nasus",environmental,0.542,model
mother-of-pearl,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,mother-of-pearl,environmental,0.571,model
yautia,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,yautia,environmental,0.545,model
hydrodynam,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,"hydrodynamic, hydrodynamics",environmental,0.568,model
ether-phenol,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,ether-phenols,environmental,0.688,model
monochlorid,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,monochloride,environmental,0.525,model
ofgem,63.85487404162103,28,2,0.0076670317634173,0.0001200696403914,ofgem,environmental,0.602,model
embroidery,63.854874041621024,140,10,0.0383351588170865,0.0006003482019571,embroidery,environmental,0.688,model
research-and-innov,63.854874041621024,84,6,0.0230010952902519,0.0003602089211742,research-and-innovation,environmental,0.57,model
gricultur,63.854874041621024,42,3,0.0115005476451259,0.0001801044605871,"gricultur, gricultural, griculture",environmental,0.766,model
sutur,63.854874041621024,42,3,0.0115005476451259,0.0001801044605871,"suture, sutures, suturing",environmental,0.545,model
react-eu,63.854874041621024,42,3,0.0115005476451259,0.0001801044605871,react-eu,environmental,0.514,model
acetylen,63.854874041621024,42,3,0.0115005476451259,0.0001801044605871,"acetylene, acetylenic",environmental,0.601,model
pepton,63.854874041621024,42,3,0.0115005476451259,0.0001801044605871,"peptone, peptones",environmental,0.558,model
biofuel,62.91583177630307,469,34,0.1284227820372398,0.0020411838866542,"biofuel, biofuels",environmental,0.715,model
chp,62.84130461238895,124,9,0.0339539978094194,0.0005403133817614,"chp, chps",environmental,1.0,known_acronym
voc,62.71460843373494,110,8,0.0301204819277108,0.0004802785615657,"voc, vocs",environmental,1.0,known_acronym
isocyan,62.71460843373494,55,4,0.0150602409638554,0.0002401392807828,"isocyanate, isocyanates",environmental,0.649,model
primat,62.71460843373494,55,4,0.0150602409638554,0.0002401392807828,"primate, primates",environmental,0.658,model
dieldrin,62.71460843373494,55,4,0.0150602409638554,0.0002401392807828,"dieldrin, dieldrine",environmental,0.647,model
shellfish,62.610947923927114,151,11,0.0413472070098576,0.0006603830221528,shellfish,environmental,0.896,model
polychlorinat,62.48655531215772,137,10,0.0375136911281489,0.0006003482019571,polychlorinated,environmental,0.639,model
sac,62.45147021653045,178,13,0.0487404162102957,0.0007804526625442,"sac, sacs",environmental,1.0,known_acronym
ozokerit,62.334519897772914,123,9,0.0336801752464403,0.0005403133817614,"ozokerit, ozokerite",environmental,0.794,model
larva,62.33451989777291,82,6,0.0224534501642935,0.0003602089211742,"larva, larvae",environmental,0.816,model
agribusi,62.33451989777291,41,3,0.0112267250821467,0.0001801044605871,"agribusiness, agribusinesses",environmental,0.507,model
degreas,62.33451989777291,41,3,0.0112267250821467,0.0001801044605871,"degrease, degreased, degreasers, degreasing",environmental,0.718,model
dichrom,62.33451989777291,41,3,0.0112267250821467,0.0001801044605871,"dichromate, dichromates",environmental,0.596,model
nox,62.25850219058051,273,20,0.0747535596933187,0.0012006964039142,nox,environmental,1.0,known_acronym
pfc,61.57434282584885,81,6,0.0221796276013143,0.0003602089211742,"pfc, pfcs",environmental,1.0,known_acronym
arc-weld,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,"arc-welded, arc-welding",environmental,0.592,model
dibromid,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,dibromide,environmental,0.53,model
sugarcan,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,sugarcane,environmental,0.692,model
vinifera,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,vinifera,environmental,0.806,model
multi-hazard,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,multi-hazard,environmental,0.58,model
macrourida,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,macrouridae,environmental,0.713,model
morida,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,moridae,environmental,0.648,model
ifad,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,ifad,environmental,0.546,model
hydrotreat,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,"hydrotreated, hydrotreater, hydrotreating, hydrotreatment",environmental,0.73,model
halogen-fre,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,halogen-free,environmental,0.576,model
halid,61.118236582694415,134,10,0.0366922234392113,0.0006003482019571,"halide, halides",environmental,0.559,model
loader,60.8141657539248,120,9,0.0328587075575027,0.0005403133817614,"loader, loaders",environmental,0.634,model
e-wast,60.81416575392478,40,3,0.0109529025191675,0.0001801044605871,"e-waste, e-waster, e-wastes",environmental,0.691,model
air-pollut,60.81416575392478,40,3,0.0109529025191675,0.0001801044605871,"air-pollutant, air-polluting, air-pollution",environmental,0.754,model
fluorinat,59.80059632469271,236,18,0.0646221248630887,0.0010806267635228,"fluorinated, fluorinating",environmental,0.639,model
coir,59.80059632469271,118,9,0.0323110624315443,0.0005403133817614,coir,environmental,0.773,model
hydrograph,59.6739001460387,157,12,0.0429901423877327,0.0007204178423485,"hydrograph, hydrographer, hydrographers, hydrographic, hydrographical, hydrographs",environmental,0.69,model
biotechnolog,59.29381161007667,221,17,0.0605147864184008,0.0010205919433271,"biotechnolog, biotechnological",environmental,0.693,model
fruit-peel,59.29381161007667,104,8,0.0284775465498357,0.0004802785615657,fruit-peel,environmental,0.702,model
auxiliair,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,"auxiliaire, auxiliaires",environmental,0.522,model
muraenolepidida,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,muraenolepididae,environmental,0.654,model
agriculturii,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,agriculturii,environmental,0.635,model
cold-reduc,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,cold-reduced,environmental,0.503,model
senternovem,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,senternovem,environmental,0.678,model
rhodium,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,rhodium,environmental,0.565,model
wetenschappelijk,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,"wetenschappelijk, wetenschappelijke",environmental,0.826,model
jacquard,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,"jacquard, jacquards",environmental,0.516,model
fish-liv,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,fish-liver,environmental,0.763,model
sepia,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,sepia,environmental,0.575,model
merlucciida,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,merlucciidae,environmental,0.674,model
thyroid,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,"thyroid, thyroidal",environmental,0.658,model
ir-regoli,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,ir-regoli,environmental,0.53,model
bregmacerotida,59.29381161007667,26,2,0.0071193866374589,0.0001200696403914,bregmacerotidae,environmental,0.669,model
