stem,lift,high_score_count,low_score_count,rate_in_high,rate_in_low,original_words,classification,confidence,model,relevant,notes
water-framework,287.34693318729467,63,1,0.0172508214676889,6.003482019571351e-05,water-framework,environmental,0.804,model,1,NA
bio-economy,278.22480832420587,122,2,0.0334063526834611,0.0001200696403914,bio-economy,environmental,0.924,model,1,NA
resource-efficiency,278.22480832420587,61,1,0.0167031763417305,6.003482019571351e-05,resource-efficiency,environmental,0.611,model,1,NA
agri-environment-clim,278.22480832420587,61,1,0.0167031763417305,6.003482019571351e-05,agri-environment-climate,environmental,0.979,model,1,NA
porpois,259.9805585980285,57,1,0.0156078860898138,6.003482019571351e-05,"porpoise, porpoises",environmental,0.781,model,1,endangered species
wfd,250.85843373493975,275,5,0.0753012048192771,0.0003001741009785,"wfd, wfds",environmental,1.0,known_acronym,1,NA
riverb,250.85843373493975,55,1,0.0150602409638554,6.003482019571351e-05,"riverbed, riverbeds",environmental,0.864,model,1,NA
decarbon,246.2973713033954,54,1,0.0147864184008762,6.003482019571351e-05,"decarbonation, decarbonization, decarbonize",environmental,0.813,model,1,NA
climate-relat,242.6485213581599,266,5,0.0728368017524644,0.0003001741009785,climate-related,environmental,0.965,model,1,NA
climate-adapt,241.73630887185104,53,1,0.014512595837897,6.003482019571351e-05,"climate-adapt, climate-adaptable, climate-adaptation, climate-adapted, climate-adapting, climate-adaptive",environmental,0.862,model,1,NA
bio-bas,238.6956005841548,157,3,0.0429901423877327,0.0001801044605871,bio-based,environmental,0.937,model,1,NA
birdlif,237.1752464403067,52,1,0.0142387732749178,6.003482019571351e-05,birdlife,environmental,0.924,model,1,NA
beetl,228.05312157721795,50,1,0.0136911281489594,6.003482019571351e-05,"beetle, beetles",environmental,0.848,model,1,keystone species
fossil-bas,228.05312157721795,50,1,0.0136911281489594,6.003482019571351e-05,fossil-based,environmental,0.815,model,1,NA
monofil,228.05312157721795,50,1,0.0136911281489594,6.003482019571351e-05,"monofil, monofills",environmental,0.753,model,1,NA
macrophyt,223.4920591456736,49,1,0.0134173055859802,6.003482019571351e-05,"macrophyte, macrophytes, macrophytic",environmental,0.879,model,1,environmental health indicator
run-off,221.97170500182543,146,3,0.0399780941949616,0.0001801044605871,"run-off, run-offs",environmental,0.599,model,1,NA
weir,214.3699342825849,47,1,0.0128696604600219,6.003482019571351e-05,"weir, weirs",environmental,0.806,model,1,specific environment
climate-chang,214.3699342825849,47,1,0.0128696604600219,6.003482019571351e-05,climate-change,environmental,0.905,model,1,NA
riparian,214.3699342825849,141,3,0.0386089813800657,0.0001801044605871,"riparian, riparians",environmental,0.824,model,1,specific environment
seab,208.89665936473168,229,5,0.0627053669222344,0.0003001741009785,"seabe, seabed, seabeds",environmental,0.915,model,1,specific environment
fossil-fuel,202.967278203724,89,2,0.0243702081051478,0.0001200696403914,"fossil-fuel, fossil-fueled, fossil-fuelled, fossil-fuels",environmental,0.699,model,1,NA
climate-proof,198.4062157721796,87,2,0.0238225629791894,0.0001200696403914,"climate-proof, climate-proofed, climate-proofing",environmental,0.845,model,1,NA
biogeograph,198.4062157721796,87,2,0.0238225629791894,0.0001200696403914,"biogeographic, biogeographical",environmental,0.983,model,1,NA
shorelin,196.12568455640744,43,1,0.0117743702081051,6.003482019571351e-05,"shoreline, shorelines",environmental,0.804,model,1,specific environment
estuari,196.12568455640744,129,3,0.0353231106243154,0.0001801044605871,"estuarial, estuarie, estuaries, estuaris",environmental,0.941,model,1,specific environment
lca,191.5646221248631,42,1,0.0115005476451259,6.003482019571351e-05,"lca, lcas",environmental,1.0,known_acronym,1,NA
riverin,191.5646221248631,42,1,0.0115005476451259,6.003482019571351e-05,riverine,environmental,0.84,model,1,specific environment
bio-diversity,187.00355969331872,82,2,0.0224534501642935,0.0001200696403914,bio-diversity,environmental,0.956,model,1,NA
environm,187.00355969331872,41,1,0.0112267250821467,6.003482019571351e-05,"environm, environme",environmental,0.953,model,1,NA
biota,185.48320554947057,122,3,0.0334063526834611,0.0001801044605871,biota,environmental,0.969,model,1,NA
geotherm,182.44249726177435,200,5,0.0547645125958378,0.0003001741009785,"geotherm, geothermal, geothermic",environmental,0.801,model,1,NA
reef,177.88143483023,78,2,0.0213581599123767,0.0001200696403914,"reef, reefs",environmental,0.921,model,1,specific environment
hydrolog,173.8905052026287,305,8,0.0835158817086527,0.0004802785615657,"hydrologic, hydrological",environmental,0.601,model,1,NA
coppic,173.32037239868566,38,1,0.0104052573932092,6.003482019571351e-05,"coppice, coppiced, coppices, coppicing",environmental,0.868,model,1,NA
aquif,171.80001825483754,113,3,0.0309419496166484,0.0001801044605871,"aquifer, aquifers",environmental,0.827,model,1,NA
eco-design,170.71405100923172,262,7,0.0717415115005476,0.0004202437413699,"eco-design, eco-designed, eco-designing, eco-designs",environmental,0.958,model,1,NA
uwwtd,168.7593099671413,111,3,0.03039430449069,0.0001801044605871,uwwtd,environmental,1.0,known_acronym,1,NA
horse-chestnut,168.7593099671413,37,1,0.01013143483023,6.003482019571351e-05,horse-chestnuts,environmental,0.71,model,1,endangered species
sapwood,168.7593099671413,37,1,0.01013143483023,6.003482019571351e-05,sapwood,environmental,0.791,model,1,NA
biotic,166.4787787513691,73,2,0.0199890470974808,0.0001200696403914,"biotic, biotics",environmental,0.969,model,1,NA
greenwash,164.19824753559695,36,1,0.0098576122672508,6.003482019571351e-05,"greenwash, greenwashing",environmental,0.514,model,1,NA
abiot,161.91771631982476,71,2,0.0194414019715224,0.0001200696403914,abiotic,environmental,0.569,model,1,NA
salinis,161.91771631982476,71,2,0.0194414019715224,0.0001200696403914,"salinisation, salinised",environmental,0.568,model,1,NA
f-gase,159.63718510405255,70,2,0.0191675794085432,0.0001200696403914,f-gases,environmental,0.687,model,1,major pollutant
ecolabel,155.83629974443227,205,6,0.0561336254107338,0.0003602089211742,"ecolabel, ecolabelled, ecolabelling, ecolabels",environmental,0.754,model,1,NA
deforest,150.51506024096386,363,11,0.0993975903614457,0.0006603830221528,"deforest, deforestation, deforestations, deforested, deforesting",environmental,0.913,model,1,NA
carbonis,150.51506024096386,33,1,0.0090361445783132,6.003482019571351e-05,"carbonisation, carbonise, carbonised, carbonising",environmental,0.768,model,1,NA
eucalyptu,150.51506024096386,33,1,0.0090361445783132,6.003482019571351e-05,eucalyptus,environmental,0.962,model,1,NA
recyclability,149.60284775465496,164,5,0.044906900328587,0.0003001741009785,recyclability,environmental,0.674,model,1,NA
n2o,148.23452902519168,65,2,0.0177984665936473,0.0001200696403914,n2o,environmental,1.0,known_acronym,1,major pollutant
seveso,146.71417488134355,193,6,0.0528477546549835,0.0003602089211742,seveso,environmental,1.0,known_acronym,1,NA
biodiversity-relat,145.9539978094195,64,2,0.0175246440306681,0.0001200696403914,biodiversity-related,environmental,0.991,model,1,NA
jellyfish,145.9539978094195,32,1,0.008762322015334,6.003482019571351e-05,jellyfish,environmental,0.853,model,1,invasive species
triphosph,145.9539978094195,32,1,0.008762322015334,6.003482019571351e-05,"triphosphate, triphosphates",environmental,0.716,model,1,major pollutant
maricultur,145.9539978094195,32,1,0.008762322015334,6.003482019571351e-05,"mariculture, maricultures",environmental,0.952,model,1,NA
ceacr,145.9539978094195,32,1,0.008762322015334,6.003482019571351e-05,ceacr,environmental,0.862,model,1,NA
zero-energy,145.9539978094195,32,1,0.008762322015334,6.003482019571351e-05,zero-energy,environmental,0.568,model,1,NA
cbd,144.65083711469254,222,7,0.06078860898138,0.0004202437413699,cbd,environmental,1.0,known_acronym,1,NA
afforest,143.92685895095534,284,9,0.0777656078860898,0.0005403133817614,"afforest, afforestation, afforestations, afforested, afforesting",environmental,0.969,model,1,NA
fraxinu,141.39293537787515,31,1,0.0084884994523548,6.003482019571351e-05,fraxinus,environmental,0.536,model,1,endangered species
herbivor,141.39293537787515,31,1,0.0084884994523548,6.003482019571351e-05,"herbivore, herbivores, herbivorous",environmental,0.962,model,1,NA
isoproturon,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,isoproturon,environmental,0.637,model,1,major pollutant
pollachiu,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,pollachius,environmental,0.846,model,1,endangered species
plant-bas,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,plant-based,environmental,0.943,model,1,NA
evro,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,evros,environmental,0.801,model,1,specific environment
boreal,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,boreal,environmental,0.659,model,1,specific environment
e-vehicl,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,"e-vehicle, e-vehicles",environmental,0.539,model,1,NA
biobas,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,"biobase, biobased",environmental,0.785,model,1,NA
dike,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,"dike, dikes",environmental,0.747,model,1,NA
ecofy,136.83187294633078,30,1,0.0082146768893756,6.003482019571351e-05,ecofys,environmental,0.982,model,1,private compant
phosphin,134.5513417305586,59,2,0.0161555312157721,0.0001200696403914,"phosphinate, phosphinates, phosphine, phosphinic",environmental,0.71,model,1,major pollutant
hydrofluorocarbon,133.79116465863453,88,3,0.0240963855421686,0.0001801044605871,"hydrofluorocarbon, hydrofluorocarbons",environmental,0.679,model,1,major pollutant
eco-efficiency,132.27081051478643,58,2,0.0158817086527929,0.0001200696403914,eco-efficiency,environmental,0.991,model,1,NA
leachat,132.27081051478643,29,1,0.0079408543263964,6.003482019571351e-05,"leachate, leachates",environmental,0.772,model,1,major pollutant
silvicultur,132.27081051478643,29,1,0.0079408543263964,6.003482019571351e-05,"silvicultural, silviculture",environmental,0.887,model,1,NA
walrus,132.27081051478643,29,1,0.0079408543263964,6.003482019571351e-05,walruses,environmental,0.783,model,1,endangered species
anthracit,132.27081051478643,29,1,0.0079408543263964,6.003482019571351e-05,"anthracite, anthracites",environmental,0.789,model,1,NA
sockey,132.27081051478643,29,1,0.0079408543263964,6.003482019571351e-05,sockeye,environmental,0.641,model,1,endangered species
eco-effici,129.99027929901425,57,2,0.0156078860898138,0.0001200696403914,"eco-efficiant, eco-efficiencies, eco-efficient",environmental,0.917,model,1,NA
dechloran,127.70974808324206,28,1,0.0076670317634173,6.003482019571351e-05,dechlorane,environmental,0.748,model,1,major pollutant
bromotrifluoromethan,127.70974808324206,28,1,0.0076670317634173,6.003482019571351e-05,bromotrifluoromethane,environmental,0.722,model,1,major pollutant
air_en,127.70974808324206,28,1,0.0076670317634173,6.003482019571351e-05,air_en,environmental,0.575,model,1,NA
byproduct,127.70974808324206,28,1,0.0076670317634173,6.003482019571351e-05,"byproduct, byproducts",environmental,0.756,model,1,NA
bromochlorodifluoromethan,127.70974808324206,28,1,0.0076670317634173,6.003482019571351e-05,bromochlorodifluoromethane,environmental,0.688,model,1,major pollutant
polyphosphor,127.70974808324206,28,1,0.0076670317634173,6.003482019571351e-05,polyphosphoric,environmental,0.752,model,1,major pollutant
pentachlorobenzen,125.42921686746988,55,2,0.0150602409638554,0.0001200696403914,pentachlorobenzene,environmental,0.673,model,1,major pollutant
fertiliz,125.42921686746988,55,2,0.0150602409638554,0.0001200696403914,"fertilized, fertilizing",environmental,0.85,model,1,NA
pyrolysi,123.1486856516977,54,2,0.0147864184008762,0.0001200696403914,pyrolysis,environmental,0.773,model,1,NA
rainwat,119.72788882803944,105,4,0.0287513691128148,0.0002401392807828,rainwater,environmental,0.791,model,1,NA
bromomethan,118.58762322015336,26,1,0.0071193866374589,6.003482019571351e-05,bromomethane,environmental,0.659,model,1,major pollutant
chloromethan,118.58762322015336,26,1,0.0071193866374589,6.003482019571351e-05,chloromethane,environmental,0.726,model,1,major pollutant
wind-pow,118.58762322015336,26,1,0.0071193866374589,6.003482019571351e-05,"wind-power, wind-powered",environmental,0.824,model,1,NA
landslid,117.44735761226724,103,4,0.0282037239868565,0.0002401392807828,"landslide, landslides",environmental,0.823,model,1,NA
groundwat,117.44735761226724,515,20,0.1410186199342825,0.0012006964039142,"groundwat, groundwater, groundwaters",environmental,0.857,model,1,NA
pentachlorophenol,116.30709200438118,51,2,0.0139649507119386,0.0001200696403914,pentachlorophenol,environmental,0.549,model,1,major pollutant
freshwat,114.59669359255204,402,16,0.1100766703176341,0.0009605571231314,"freshwater, freshwaters",environmental,0.926,model,1,specific environment
ecology,114.02656078860898,150,6,0.0410733844468784,0.0003602089211742,ecology,environmental,0.993,model,1,NA
emep,114.02656078860898,25,1,0.0068455640744797,6.003482019571351e-05,emep,environmental,0.601,model,1,NA
porbeagl,114.02656078860898,25,1,0.0068455640744797,6.003482019571351e-05,porbeagle,environmental,0.592,model,1,endangered species
chloropicrin,114.02656078860898,25,1,0.0068455640744797,6.003482019571351e-05,"chloropicrin, chloropicrine",environmental,0.681,model,1,major pollutant
gaec,112.50620664476088,74,3,0.02026286966046,0.0001801044605871,"gaec, gaecs",environmental,0.726,model,1,NA
bref,111.7460295728368,98,4,0.0268346111719605,0.0002401392807828,"bref, brefs",environmental,1.0,known_acronym,1,NA
co2-eq,111.7460295728368,49,2,0.0134173055859802,0.0001200696403914,co2-eq,environmental,0.701,model,1,NA
climate-induc,109.46549835706462,24,1,0.0065717415115005,6.003482019571351e-05,climate-induced,environmental,0.891,model,1,NA
biodiv,109.46549835706462,24,1,0.0065717415115005,6.003482019571351e-05,"biodiv, biodive, biodiver, biodivers",environmental,0.993,model,1,NA
venerida,109.46549835706462,24,1,0.0065717415115005,6.003482019571351e-05,veneridae,environmental,0.727,model,1,environmental health indicator
underwat,107.5107573149742,165,7,0.0451807228915662,0.0004202437413699,"underwat, underwater",environmental,0.861,model,1,specific environment
eco-industri,107.18496714129245,47,2,0.0128696604600219,0.0001200696403914,"eco-industrial, eco-industries",environmental,0.874,model,1,NA
envir,107.18496714129245,47,2,0.0128696604600219,0.0001200696403914,envir,environmental,0.901,model,1,NA
eco-friendly,104.90443592552026,69,3,0.018893756845564,0.0001801044605871,eco-friendly,environmental,0.99,model,1,NA
car-shar,104.90443592552026,23,1,0.0062979189485213,6.003482019571351e-05,car-sharing,environmental,0.508,model,1,NA
plankton,104.90443592552026,23,1,0.0062979189485213,6.003482019571351e-05,"plankton, planktonic",environmental,0.931,model,1,environmental health indicator
hydrometeorolog,104.90443592552026,23,1,0.0062979189485213,6.003482019571351e-05,hydrometeorological,environmental,0.947,model,1,NA
ecologically,104.1442588535962,137,6,0.0375136911281489,0.0003602089211742,ecologically,environmental,0.992,model,1,NA
leach,103.9922234392114,114,5,0.0312157721796276,0.0003001741009785,"leach, leache, leached, leaching",environmental,0.702,model,1,NA
waste-wat,103.9922234392114,114,5,0.0312157721796276,0.0003001741009785,waste-water,environmental,0.79,model,1,NA
ecosystem-bas,102.62390470974807,90,4,0.024644030668127,0.0002401392807828,ecosystem-based,environmental,0.994,model,1,NA
quercu,102.62390470974807,45,2,0.0123220153340635,0.0001200696403914,quercus,environmental,0.636,model,1,keystone species
biospher,101.86372763782404,67,3,0.0183461117196056,0.0001801044605871,"biosphere, biospheric",environmental,0.989,model,1,NA
stratospher,100.3433734939759,22,1,0.0060240963855421,6.003482019571351e-05,"stratosphere, stratospheric",environmental,0.819,model,1,NA
hedgerow,100.3433734939759,22,1,0.0060240963855421,6.003482019571351e-05,"hedgerow, hedgerows",environmental,0.826,model,1,specific environment
post-kyoto,100.3433734939759,22,1,0.0060240963855421,6.003482019571351e-05,post-kyoto,environmental,0.594,model,1,NA
cemagref,100.3433734939759,22,1,0.0060240963855421,6.003482019571351e-05,cemagref,environmental,0.788,model,1,private company
seawat,98.06284227820372,86,4,0.0235487404162102,0.0002401392807828,"seawater, seawaters",environmental,0.887,model,1,NA
farmland,97.49270947426068,171,8,0.0468236582694414,0.0004802785615657,"farmland, farmlands",environmental,0.771,model,1,NA
climate-smart,95.78231106243156,21,1,0.0057502738225629,6.003482019571351e-05,climate-smart,environmental,0.941,model,1,NA
angustifolium,95.78231106243156,21,1,0.0057502738225629,6.003482019571351e-05,angustifolium,environmental,0.752,model,1,keystone species
clrtap,95.78231106243156,21,1,0.0057502738225629,6.003482019571351e-05,clrtap,environmental,1.0,known_acronym,1,NA
evapotranspir,95.78231106243156,21,1,0.0057502738225629,6.003482019571351e-05,evapotranspiration,environmental,0.839,model,1,NA
wilder,95.78231106243156,21,1,0.0057502738225629,6.003482019571351e-05,"wilder, wilderness",environmental,0.932,model,1,NA
environment-relat,95.3262048192771,209,10,0.0572289156626506,0.0006003482019571,environment-related,environmental,0.987,model,1,NA
eia,95.2121782584885,334,16,0.0914567360350493,0.0009605571231314,"eia, eias",environmental,1.0,known_acronym,1,NA
bat,94.53838494473764,228,11,0.0624315443592552,0.0006603830221528,"bat, bating, bats",environmental,1.0,known_acronym,1,NA
dolphin,92.74160277473528,61,3,0.0167031763417305,0.0001801044605871,"dolphin, dolphins",environmental,0.809,model,1,environmental health indicator
iucn,91.2212486308872,80,4,0.0219058050383351,0.0002401392807828,iucn,environmental,1.0,known_acronym,1,NA
deforestation-fre,91.2212486308872,40,2,0.0109529025191675,0.0001200696403914,deforestation-free,environmental,0.919,model,1,NA
fossil-fre,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,fossil-free,environmental,0.841,model,1,NA
harvester-thresh,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,harvester-threshers,environmental,0.885,model,1,NA
waste-manag,91.2212486308872,20,1,0.0054764512595837,6.003482019571351e-05,waste-management,environmental,0.755,model,1,NA
brownfield,88.940717415115,39,2,0.0106790799561883,0.0001200696403914,"brownfield, brownfields",environmental,0.9,model,1,NA
flood-pron,88.940717415115,39,2,0.0106790799561883,0.0001200696403914,flood-prone,environmental,0.779,model,1,NA
ndc,88.94071741511499,117,6,0.0320372398685651,0.0003602089211742,"ndc, ndcs",environmental,1.0,known_acronym,1,NA
agronomist,86.66018619934283,38,2,0.0104052573932092,0.0001200696403914,"agronomist, agronomists",environmental,0.867,model,1,NA
biomass,85.87828978250666,659,35,0.1804490690032858,0.0021012187068499,"biomass, biomasse, biomasses",environmental,0.939,model,1,NA
land-us,84.9497877875137,298,16,0.0815991237677984,0.0009605571231314,"land-use, land-used",environmental,0.799,model,1,NA
biodegradability,84.37965498357065,37,2,0.01013143483023,0.0001200696403914,biodegradability,environmental,0.926,model,1,NA
ospar,82.85930083972252,109,6,0.0298466593647316,0.0003602089211742,ospar,environmental,0.631,model,1,NA
sea-basin,82.09912376779847,36,2,0.0098576122672508,0.0001200696403914,"sea-basin, sea-basins",environmental,0.912,model,1,specific environment
overfish,81.18691128148959,89,5,0.0243702081051478,0.0003001741009785,"overfished, overfishing",environmental,0.907,model,1,NA
creosot,80.57876962395035,53,3,0.014512595837897,0.0001801044605871,"creosote, creosotes",environmental,0.867,model,1,major pollutant
agro-ecolog,79.81859255202627,35,2,0.0095837897042716,0.0001200696403914,agro-ecological,environmental,0.997,model,1,NA
whale,79.49280237834455,122,7,0.0334063526834611,0.0004202437413699,"whale, whales",environmental,0.777,model,1,environmental health indicator
shale,79.36248630887185,174,10,0.0476451259583789,0.0006003482019571,"shale, shales",environmental,0.827,model,1,NA
bioaccumul,79.24845974808325,139,8,0.0380613362541073,0.0004802785615657,"bioaccumulable, bioaccumulate, bioaccumulates, bioaccumulation, bioaccumulative, bioaccumulive",environmental,0.664,model,1,NA
pollin,79.05841548010224,156,9,0.0427163198247535,0.0005403133817614,"pollin, pollinate, pollination, pollinator, pollinators, pollinizers",environmental,0.955,model,1,NA
seabird,79.05841548010223,52,3,0.0142387732749178,0.0001801044605871,"seabird, seabirds",environmental,0.864,model,1,environmental health indicator
lignit,77.74538235586976,375,22,0.102683461117196,0.0013207660443056,"lignit, lignite, lignites",environmental,0.831,model,1,NA
bioenergy,76.017707192406,150,9,0.0410733844468784,0.0005403133817614,bioenergy,environmental,0.725,model,1,NA
poach,76.01770719240598,50,3,0.0136911281489594,0.0001801044605871,"poach, poached, poaching",environmental,0.704,model,1,NA
clp,75.87949317932889,183,11,0.0501095290251916,0.0006603830221528,clp,environmental,1.0,known_acronym,1,NA
abalon,75.25753012048193,33,2,0.0090361445783132,0.0001200696403914,"abalon, abalone, abalones",environmental,0.807,model,1,endangered species
agroforestry,74.11726451259584,65,4,0.0177984665936473,0.0002401392807828,agroforestry,environmental,0.978,model,1,NA
cbam,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,cbam,environmental,1.0,known_acronym,1,NA
topsoil,72.97699890470975,32,2,0.008762322015334,0.0001200696403914,"topsoil, topsoils",environmental,0.718,model,1,NA
bio-accumul,71.83673329682367,63,4,0.0172508214676889,0.0002401392807828,"bio-accumulate, bio-accumulation, bio-accumulative, bio-accumulators",environmental,0.764,model,1,NA
cetacean,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,"cetacean, cetaceans",environmental,0.788,model,1,environmental health indicator
desert,71.45664476086162,47,3,0.0128696604600219,0.0001801044605871,"desert, deserted, deserting, desertion, deserts",environmental,0.776,model,1,NA
eco-manag,71.07655622489959,187,12,0.0512048192771084,0.0007204178423485,"eco-management, eco-managers",environmental,0.994,model,1,NA
esri,70.69646768893757,31,2,0.0084884994523548,0.0001200696403914,esri,environmental,0.669,model,1,NA
agri-environment,70.48914666932193,170,11,0.0465498357064622,0.0006603830221528,agri-environmental,environmental,0.992,model,1,NA
hydrogeolog,69.93629061701351,46,3,0.0125958378970427,0.0001801044605871,hydrogeological,environmental,0.978,model,1,NA
forest-bas,69.55620208105147,61,4,0.0167031763417305,0.0002401392807828,forest-based,environmental,0.948,model,1,NA
mussel,69.32814895947426,76,5,0.0208105147864184,0.0003001741009785,"mussel, mussels",environmental,0.904,model,1,environmental health indicator
eionet,69.1361042255145,288,19,0.0788608981380065,0.0011406615837185,eionet,environmental,1.0,known_acronym,1,NA
eel,68.41593647316539,90,6,0.024644030668127,0.0003602089211742,"eel, eels",environmental,0.885,model,1,NA
geodesy,68.41593647316539,45,3,0.0123220153340635,0.0001801044605871,geodesy,environmental,0.954,model,1,NA
air-quality,68.41593647316539,45,3,0.0123220153340635,0.0001801044605871,air-quality,environmental,0.937,model,1,NA
geodet,68.41593647316539,45,3,0.0123220153340635,0.0001801044605871,geodetic,environmental,0.981,model,1,NA
cypermethrin,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,"cypermethrin, cypermethrine",environmental,0.859,model,1,major pollutant
gadida,68.41593647316539,30,2,0.0082146768893756,0.0001200696403914,gadidae,environmental,0.771,model,1,NA
caspian,67.76435612580191,104,7,0.0284775465498357,0.0004202437413699,caspian,environmental,0.622,model,1,specific environment
manur,66.89558232931728,264,18,0.072289156626506,0.0010806267635228,"manure, manured, manures, manuring",environmental,0.889,model,1,NA
sediment,66.64218997200926,263,18,0.0720153340635268,0.0010806267635228,"sediment, sedimentation, sediments",environmental,0.947,model,1,NA
lagoon,63.85487404162103,56,4,0.0153340635268346,0.0002401392807828,"lagoon, lagoonal, lagooning, lagoons",environmental,0.917,model,1,specific environment
biofuel,62.91583177630307,469,34,0.1284227820372398,0.0020411838866542,"biofuel, biofuels",environmental,0.715,model,1,NA
chp,62.84130461238895,124,9,0.0339539978094194,0.0005403133817614,"chp, chps",environmental,1.0,known_acronym,1,NA
voc,62.71460843373494,110,8,0.0301204819277108,0.0004802785615657,"voc, vocs",environmental,1.0,known_acronym,1,NA
shellfish,62.610947923927114,151,11,0.0413472070098576,0.0006603830221528,shellfish,environmental,0.896,model,1,NA
sac,62.45147021653045,178,13,0.0487404162102957,0.0007804526625442,"sac, sacs",environmental,1.0,known_acronym,1,NA
larva,62.33451989777291,82,6,0.0224534501642935,0.0003602089211742,"larva, larvae",environmental,0.816,model,1,NA
agribusi,62.33451989777291,41,3,0.0112267250821467,0.0001801044605871,"agribusiness, agribusinesses",environmental,0.507,model,1,NA
nox,62.25850219058051,273,20,0.0747535596933187,0.0012006964039142,nox,environmental,1.0,known_acronym,1,NA
pfc,61.57434282584885,81,6,0.0221796276013143,0.0003602089211742,"pfc, pfcs",environmental,1.0,known_acronym,1,NA
vinifera,61.57434282584885,27,2,0.0073932092004381,0.0001200696403914,vinifera,environmental,0.806,model,1,endangered species
air-pollut,60.81416575392478,40,3,0.0109529025191675,0.0001801044605871,"air-pollutant, air-polluting, air-pollution",environmental,0.754,model,1,NA
salin,58.83770536692224,129,10,0.0353231106243154,0.0006003482019571,"salination, saline, salinities, salinization, salins",environmental,0.568,model,1,NA
charcoal,57.95232265962245,216,17,0.0591456736035049,0.0010205919433271,"charcoal, charcoals",environmental,0.583,model,1,NA
nec,57.890407784986095,165,13,0.0451807228915662,0.0007804526625442,"nec, necs",environmental,1.0,known_acronym,1,NA
de-oil,57.77345746622855,76,6,0.0208105147864184,0.0003602089211742,de-oiling,environmental,0.858,model,1,NA
bio-geograph,57.01328039430449,25,2,0.0068455640744797,0.0001200696403914,"bio-geographic, bio-geographical",environmental,0.972,model,1,NA
biodiesel,56.68749022062275,174,14,0.0476451259583789,0.0008404874827399,"biodiesel, biodiesels",environmental,0.844,model,1,NA
desalt,56.44314759036145,99,8,0.0271084337349397,0.0004802785615657,"desalter, desalting",environmental,0.73,model,1,NA
cistern,56.25310332238043,37,3,0.01013143483023,0.0001801044605871,"cistern, cisterns",environmental,0.809,model,1,NA
dogfish,56.25310332238043,37,3,0.01013143483023,0.0001801044605871,dogfish,environmental,0.797,model,1,invasive species
biomateri,56.25310332238043,37,3,0.01013143483023,0.0001801044605871,"biomaterial, biomaterials",environmental,0.813,model,1,NA
biomonitor,56.25310332238043,37,3,0.01013143483023,0.0001801044605871,"biomonitor, biomonitoring, biomonitors",environmental,0.706,model,1,NA
sea-level,55.8730147864184,49,4,0.0134173055859802,0.0002401392807828,"sea-level, sea-levels",environmental,0.766,model,1,NA
hfc,55.644961664841176,122,10,0.0334063526834611,0.0006003482019571,"hfc, hfcs",environmental,1.0,known_acronym,1,NA
ceer,55.644961664841176,61,5,0.0167031763417305,0.0003001741009785,ceer,environmental,0.554,model,1,NA
drought,54.29836228028999,500,42,0.1369112814895947,0.0025214624482199,"drought, droughts",environmental,0.828,model,1,NA
footprint,53.93456325301205,473,40,0.1295180722891566,0.0024013928078285,"footprint, footprinting, footprints",environmental,0.712,model,1,NA
catchment,53.71917974930024,212,18,0.0580503833515881,0.0010806267635228,"catchment, catchments",environmental,0.916,model,1,specific environment
fallow,53.71917974930024,106,9,0.029025191675794,0.0005403133817614,"fallow, fallowed, fallowing, fallows",environmental,0.789,model,1,NA
dithiocarbam,53.212395034684185,35,3,0.0095837897042716,0.0001801044605871,"dithiocarbamate, dithiocarbamates",environmental,0.712,model,1,major pollutant
eco-label,52.62764344089645,150,13,0.0410733844468784,0.0007804526625442,"eco-label, eco-labeled, eco-labeling, eco-labelled, eco-labelling, eco-labels",environmental,0.916,model,1,NA
bio-safety,52.45221796276013,23,2,0.0062979189485213,0.0001200696403914,bio-safety,environmental,0.842,model,1,NA
tropospher,52.45221796276013,23,2,0.0062979189485213,0.0001200696403914,"troposphere, tropospheric",environmental,0.885,model,1,specific environment
environmentally-friendly,51.99611171960569,171,15,0.0468236582694414,0.0009005223029357,environmentally-friendly,environmental,0.913,model,1,NA
watercours,51.57509057207852,147,13,0.0402519167579408,0.0007804526625442,"watercourse, watercourses",environmental,0.843,model,1,specific environment
estuary,51.311952354874045,45,4,0.0123220153340635,0.0002401392807828,estuary,environmental,0.977,model,1,specific environment
climate-neutrality,50.931863818912014,67,6,0.0183461117196056,0.0003602089211742,climate-neutrality,environmental,0.858,model,1,NA
tyndp,50.17168674698795,22,2,0.0060240963855421,0.0001200696403914,"tyndp, tyndps",environmental,1.0,known_acronym,1,NA
honeybe,50.17168674698795,22,2,0.0060240963855421,0.0001200696403914,"honeybee, honeybees",environmental,0.774,model,1,keystone species
